Number	linkage group	position	nSNP	mean(fst)	peak_name	range_start	range_stop	gene_start	gene_end	gene_width	ID	alias	Details	Gene function
1	LG06	15304991	33	0.019772096	LG06_1	15300000	15700000	15295232	15305046	9815	GAMO_00042260	augustus_masked-LG06-processed-gene-153.2	Similar to Papd4: Poly(A) RNA polymerase GLD2 (Rattus norvegicus)	
2	LG06	15316621	48	0.015602784	LG06_1	15300000	15700000	15305511	15316910	11400	GAMO_00042261	maker-LG06-snap-gene-153.75	Similar to CMYA5: Cardiomyopathy-associated protein 5 (Homo sapiens)	
3	LG06	15321650	18	0.016568044	LG06_1	15300000	15700000	15317397	15322166	4770	GAMO_00042263	maker-LG06-snap-gene-153.85	Similar to mtx3: Metaxin-3 (Danio rerio)	
4	LG06	15323277	51	0.024877558	LG06_1	15300000	15700000	15323248	15334696	11449	GAMO_00042265	maker-LG06-snap-gene-153.76	Similar to thbs4b: Thrombospondin-4-B (Danio rerio)	
5	LG06	15352760	107	0.017758642	LG06_1	15300000	15700000	15334783	15362099	27317	GAMO_00042267	genemark-LG06-processed-gene-154.21	Similar to cdk7: Cyclin-dependent kinase 7 (Carassius auratus)	
6	LG06	15383993	57	0.02102376	LG06_1	15300000	15700000	15369967	15402838	32872	GAMO_00042271	maker-LG06-snap-gene-154.79	Similar to SETBP1: SET-binding protein (Homo sapiens)	
7	LG06	15422844	39	0.019460456	LG06_1	15300000	15700000	15422656	15434066	11411	GAMO_00042274	snap_masked-LG06-processed-gene-154.62	Similar to ADD2: Beta-adducin (Homo sapiens)	
8	LG06	15446496	46	0.050958386	LG06_1	15300000	15700000	15441847	15446810	4964	GAMO_00042278	maker-LG06-augustus-gene-154.75	Similar to FIGLA: Factor in the germline alpha (Homo sapiens)	
9	LG06	15447358	132	0.043790704	LG06_1	15300000	15700000	15447354	15477097	29744	GAMO_00042279	maker-LG06-snap-gene-154.81	Similar to Hk2: Hexokinase-2 (Mus musculus)	
10	LG06	15495749	16	0.035099769	LG06_1	15300000	15700000	15495449	15497947	2499	GAMO_00042283	maker-LG06-snap-gene-155.25	Similar to Npffr1: Neuropeptide FF receptor 1 (Rattus norvegicus)	
11	LG06	15564430	43	0.02408874	LG06_1	15300000	15700000	15553849	15564464	10616	GAMO_00042292	snap_masked-LG06-processed-gene-156.37	Similar to AP3M2: AP-3 complex subunit mu-2 (Homo sapiens)	
12	LG06	15567042	110	0.022877905	LG06_1	15300000	15700000	15566595	15592279	25685	GAMO_00042293	maker-LG06-snap-gene-156.63	Similar to KAT6A: Histone acetyltransferase KAT6A (Homo sapiens)	
13	LG06	15618804	56	0.017783188	LG06_1	15300000	15700000	15604197	15619178	14982	GAMO_00042300	maker-LG06-augustus-gene-156.52	Similar to CDCA2: Cell division cycle-associated protein 2 (Homo sapiens)	
14	LG06	15654143	127	0.019963456	LG06_1	15300000	15700000	15624212	15654608	30397	GAMO_00042303	augustus_masked-LG06-processed-gene-159.0	Similar to Sema4c: Semaphorin-4C (Mus musculus)	
15	LG08	2080813	12	0.075448837	LG08_1	"2,080,000"	"2,200,000"	"2,078,594"	"2,084,105"	5512	GAMO_00030579	maker-LG08-snap-gene-21.43	Similar to phr: Deoxyribodipyrimidine photo-lyase (Carassius auratus)	"Involved in repair of UV radiation-induced DNA damage. Catalyzes the light-dependent monomerization (300-600 nm) of cyclobutyl pyrimidine dimers (in cis-syn configuration), which are formed between adjacent bases on the same DNA strand upon exposure to ultraviolet radiation."
16	LG08	2084229	16	0.061419953	LG08_1	"2,080,000"	"2,200,000"	"2,084,135"	"2,088,701"	4567	GAMO_00030581	maker-LG08-augustus-gene-21.37	Similar to fyttd1: UAP56-interacting factor (Salmo salar)	"mRNA binding, mRNA export from nucleus"
17	LG08	2114593	5	0.099935582	LG08_1	"2,080,000"	"2,200,000"	"2,114,409"	"2,116,181"	1773	GAMO_00030584	snap_masked-LG08-processed-gene-21.33	Similar to TSC22D2: TSC22 domain family protein 2 (Homo sapiens)	"regulation of transcription by RNA polymerase II, response to osmotic stress"
18	LG08	2127553	4	0.119706933	LG08_1	"2,080,000"	"2,200,000"	"2,126,912"	"2,130,987"	4076	GAMO_00030587	maker-LG08-snap-gene-21.42	Similar to Pfn2: Profilin-2 (Rattus norvegicus)	"Binds to actin and affects the structure of the cytoskeleton. At high concentrations, profilin prevents the polymerization of actin, whereas it enhances it at low concentrations. By binding to PIP2, it inhibits the formation of IP3 and DG (By similarity)."
19	LG08	2162030	6	0.090708232	LG08_1	"2,080,000"	"2,200,000"	"2,161,676"	"2,164,548"	2873	GAMO_00030589	maker-LG08-augustus-gene-21.40	Similar to AHSG: Alpha-2-HS-glycoprotein (Bos taurus)	"Promotes endocytosis, possesses opsonic properties and influences the mineral phase of bone. Suggested to have lymphocyte stimulating properties, lipid binding capability and to bind thyroid hormone."
