"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"rna-XM_060040999.1"	327.23636741099	0.0750311300272984	0.0270654925066851	2.77220634388109	0.00556777303113957	0.0417029404925255
"rna-XM_060059475.1"	64.5727248647618	-0.0935621552490515	0.032620814264865	-2.8681735069325	0.00412849058148484	0.0332919294286029
"rna-XM_060060617.1"	42.8864177479727	-0.237270648526469	0.0491058214187467	-4.83182322729437	1.35288353836671e-06	4.60511261032387e-05
"rna-XM_060067174.1"	237.639700222555	0.0770239333622965	0.0236305953748737	3.25950032745242	0.00111608651704282	0.0124312484559788
"rna-XM_060057172.1"	37.5746639178606	-0.200327195424943	0.0616621589368045	-3.24878659584806	0.00115898391629123	0.0127975227040329
"rna-XM_060038089.1"	703.710422176369	0.0884179876990611	0.0202575413970085	4.36469490380101	1.27300304533357e-05	0.000317164997204212
"rna-XM_060047817.1"	405.226087524469	0.088053401341754	0.0285654702066164	3.08251188252308	0.00205261535443137	0.0194828314825288
"rna-XM_060039113.1"	157.838479878111	-0.0912353746748783	0.0262604052761117	-3.47425615543992	0.000512271738824854	0.00667188492599595
"rna-XM_060062813.1"	835.998621345339	0.122251771421181	0.0374656209506133	3.26303870906963	0.0011022446343997	0.0123305811445722
"rna-XM_060052038.1"	126.663243666652	0.0625886646782538	0.022063886133788	2.83670176227058	0.00455821681026107	0.0359471274455492
"rna-XM_060045818.1"	154.679359532654	0.588601709828717	0.212492279831808	2.76999103353123	0.00560578358397199	0.0419218303705241
"rna-XM_060074800.1"	471.200559028256	0.0953657547320504	0.0353830435668563	2.69523888050661	0.0070338184071385	0.0493522351816553
"rna-XM_060064252.1"	106.733800493721	-0.206959870636264	0.0457238281334624	-4.52630234791744	6.00246863119623e-06	0.000167641628785614
"rna-XR_009527249.1"	15.6592483909991	-0.249817425406246	0.0711395979128967	-3.51165079274305	0.000445332741052611	0.00599367201603813
"rna-XM_060064993.1"	513.984155784471	0.111426011280796	0.0242608125841065	4.59283920909527	4.37255961833166e-06	0.000127597618954109
"rna-XM_060037565.1"	62.1508043681277	-0.246005155014511	0.0723843530168423	-3.39859575669994	0.000677327475759819	0.00832015841886496
"rna-XM_060037848.1"	4572.76743950725	0.323494328994645	0.0601688509644379	5.37644186002227	7.59722158144817e-08	4.0699196833862e-06
"rna-XM_060074681.1"	212.028696537761	0.0545841857424487	0.0135281578057761	4.03485726039823	5.46355012812742e-05	0.00108841370576133
"rna-XM_060053693.1"	981.722342118847	0.0299158892848437	0.0105609627380646	2.83268580969598	0.0046158730685362	0.0363117884949122
"rna-XM_060066574.1"	304.870803478655	-0.246789660998221	0.0850957796601341	-2.90013984223283	0.0037299621074585	0.0307539243232185
"rna-XM_060070285.1"	137.027958622295	0.121368255249117	0.0308355766240288	3.93598137401266	8.28573995317547e-05	0.00153624273082613
"rna-XM_060075794.1"	151.823911612179	-0.0776909941536685	0.0204623669867252	-3.79677454734684	0.000146590995501619	0.00244242513773993
"rna-XM_060050220.1"	1040.69912682034	-0.162993166038275	0.0318615524030053	-5.11566931757228	3.12630358022959e-07	1.35806817285634e-05
"rna-XM_060044331.1"	1240.29226876171	-0.125280444105251	0.0344984066610733	-3.63148493598729	0.000281795108748711	0.00417543922264459
"rna-XM_060048729.1"	1257.81148276742	0.0761422700613038	0.0237486789490285	3.20616865572721	0.00134515122440063	0.0142673746205694
"rna-XM_060072204.1"	358.618805456611	0.161681571192423	0.0407866220280994	3.96408339678226	7.36784937461346e-05	0.00139128907682757
"rna-XM_060069998.1"	46.9002022911462	-0.131132064994781	0.047799023048064	-2.74340471065532	0.00608056930998976	0.0442922284063809
